trackNumber,title,releaseTitle,group,releaseType,releaseDate,composer,arranger,duration
9,想わせぶりっこ,Springtime In You,me,ALBUM,,ヤナガワタカオ,ヤナガワタカオ,3:46
10,春の恋人,Springtime In You,me,ALBUM,,WA-ON,APAZZI,4:16
11,君はこの夏、恋をする,Springtime In You,me,ALBUM,,バグベア,バグベア,4:19
12,まほろばアスタリスク,Springtime In You,me,ALBUM,,本多友紀,脇眞富,4:01
13,はにかみショート,Springtime In You,me,ALBUM,,中村歩、野口大志,APAZZI,4:59
14,ラストチャンス、ラストダンス,Springtime In You,me,ALBUM,,古川貴浩,古川貴浩,4:22
,Marcato,Springtime In You,me,ALBUM,2024-03-20,,,192106
,デート前夜レクイエム,Springtime In You,me,ALBUM,2024-03-20,,,211520
,ラストチャンス、ラストダンス,Springtime In You,me,ALBUM,2024-03-20,,,262600
,偶然シンフォニー,Springtime In You,me,ALBUM,2024-03-20,,,263933
,春の恋人,Springtime In You,me,ALBUM,2024-03-20,,,256586
,≠ME,≠ME,me,SINGLE,2019-08-04,,,257000
,こちらハッピー探検隊,す、好きじゃない! <Special Edition>,me,SINGLE,2022-08-03,,,219826
,す、好きじゃない!,す、好きじゃない! <Special Edition>,me,SINGLE,2022-08-03,,,215453
,サマーチョコレート,す、好きじゃない! <Special Edition>,me,SINGLE,2022-08-03,,,256333
,僕たちのイマージュ,す、好きじゃない! <Special Edition>,me,SINGLE,2022-08-03,,,264560
,はにかみショート,はにかみショート <Special Edition>,me,SINGLE,2022-11-23,,,300266
,ウルトラレアキッス,はにかみショート <Special Edition>,me,SINGLE,2022-11-23,,,269746
,ピオニーズ,はにかみショート <Special Edition>,me,SINGLE,2022-11-23,,,231533
,桃色デイブレイク,はにかみショート <Special Edition>,me,SINGLE,2022-11-23,,,250440
,まほろばアスタリスク,まほろばアスタリスク Special Edition,me,SINGLE,2021-11-10,,,242440
,ワタシアクセント,まほろばアスタリスク Special Edition,me,SINGLE,2021-11-10,,,231813
,好きだ!!!,まほろばアスタリスク Special Edition,me,SINGLE,2021-11-10,,,254133
,誰もいない森の奥で一本の木が倒れたら音はするか?,まほろばアスタリスク Special Edition,me,SINGLE,2021-11-10,,,216773
,アンチコンフィチュール,アンチコンフィチュール,me,SINGLE,2023-12-20,,,253080
,ヒロインとオオカミ,アンチコンフィチュール,me,SINGLE,2023-12-20,,,257746
,初恋カムバック,アンチコンフィチュール,me,SINGLE,2023-12-20,,,230266
,君の音だったんだ,ズルいよ ズルいね,me,SINGLE,2019-10-30,,,243946
,#おふしょるにっと,チョコレートメランコリー<Special Edition>,me,SINGLE,2022-02-16,,,280693
,チョコレートメランコリー,チョコレートメランコリー<Special Edition>,me,SINGLE,2022-02-16,,,232720
,君はスパークル,チョコレートメランコリー<Special Edition>,me,SINGLE,2022-02-16,,,254400
,虹が架かる瞬間,チョコレートメランコリー<Special Edition>,me,SINGLE,2022-02-16,,,289546
,カフェ樂園,モブノデレラ/神様の言うとーり！,me,SINGLE,2025-04-30,,,244760
,モブノデレラ,モブノデレラ/神様の言うとーり！,me,SINGLE,2025-04-30,,,252160
,神様の言うとーり！,モブノデレラ/神様の言うとーり！,me,SINGLE,2025-04-30,,,239453
,ミラクル！,君はこの夏、恋をする Special Edition,me,SINGLE,2021-07-14,,,252773
,君はこの夏、恋をする,君はこの夏、恋をする Special Edition,me,SINGLE,2021-07-14,,,260079
,薄明光線,君はこの夏、恋をする Special Edition,me,SINGLE,2021-07-14,,,252880
,超絶ヒロイン,君はこの夏、恋をする Special Edition,me,SINGLE,2021-07-14,,,273080
,君を見かけた,君を見かけた,me,SINGLE,2025-08-27,,,211566
,ごめん、マジで,夏が来たから,me,SINGLE,2024-08-28,,,266546
,夏が来たから,夏が来たから,me,SINGLE,2024-08-28,,,263120
,最強のラブソング,夏が来たから,me,SINGLE,2024-08-28,,,236972
,2時半ろけんろー,天使は何処へ <Special Edition>,me,SINGLE,2023-04-12,,,191853
,このままでモーメンタリ,天使は何処へ <Special Edition>,me,SINGLE,2023-04-12,,,234253
,マシュマロフロート,天使は何処へ <Special Edition>,me,SINGLE,2023-04-12,,,231693
,天使は何処へ,天使は何処へ <Special Edition>,me,SINGLE,2023-04-12,,,240533
,デートの後、22時,想わせぶりっこ <Special Edition>,me,SINGLE,2023-09-06,,,268666
,フロアキラー,想わせぶりっこ <Special Edition>,me,SINGLE,2023-09-06,,,222520
,想わせぶりっこ,想わせぶりっこ <Special Edition>,me,SINGLE,2023-09-06,,,227306
,月下美人,想わせぶりっこ <Special Edition>,me,SINGLE,2023-09-06,,,296146
,きゅんかわ人生,排他的ファイター,me,SINGLE,2025-12-10,,,221013
,はんぶんこクリスマス,排他的ファイター,me,SINGLE,2025-12-10,,,250720
,排他的ファイター,排他的ファイター,me,SINGLE,2025-12-10,,,238546
,空白の花,空白の花,me,SINGLE,2020-07-08,,,264333
,Overture,超特急 ≠ME行き Special Edition,me,ALBUM,2021-04-07,,,90826
,てゆーか、みるてんって何？,超特急 ≠ME行き Special Edition,me,ALBUM,2021-04-07,,,228453
,クルクルかき氷,超特急 ≠ME行き Special Edition,me,ALBUM,2021-04-07,,,241706
,ポニーテール キュルン,超特急 ≠ME行き Special Edition,me,ALBUM,2021-04-07,,,272440
,秘密インシデント,超特急 ≠ME行き Special Edition,me,ALBUM,2021-04-07,,,269746
,自分賛歌,超特急 ≠ME行き Special Edition,me,ALBUM,2021-04-07,,,247493
1,Overture,超特急 ≠ME行き(ノイミー版),me,ALBUM,,きしまさおみ,きしまさおみ,1:30
2,「君の音だったんだ」,超特急 ≠ME行き(ノイミー版),me,ALBUM,,バグベア,バグベア,4:04
3,「君と僕の歌」,超特急 ≠ME行き(ノイミー版),me,ALBUM,,バグベア,バグベア,4:35
4,クルクルかき氷,超特急 ≠ME行き(ノイミー版),me,ALBUM,,Haggy Rock,Haggy Rock,4:01
5,空白の花,超特急 ≠ME行き(ノイミー版),me,ALBUM,,長浜駿平,若田部誠,4:25
6,P.I.C.,超特急 ≠ME行き(ノイミー版),me,ALBUM,,"NA.ZU.NA,Yu-ki Kokudo,YHANAEL","NA.ZU.NA,Yu-ki Kokudo,YHANAEL",3:43
7,てゆーか、みるてんって何?,超特急 ≠ME行き(ノイミー版),me,ALBUM,,yuma,yuma,3:48
8,秘密インシデント,超特急 ≠ME行き(ノイミー版),me,ALBUM,,宮川麿、M!SATO,宮川麿,4:29
9,≠ME,超特急 ≠ME行き(ノイミー版),me,ALBUM,,バグベア,バグベア,4:18
1,Overture,超特急 ≠ME行き(初回限定版),me,ALBUM,,きしまさおみ,きしまさおみ,1:30
2,「君の音だったんだ」,超特急 ≠ME行き(初回限定版),me,ALBUM,,バグベア,バグベア,4:04
3,「君と僕の歌」,超特急 ≠ME行き(初回限定版),me,ALBUM,,バグベア,バグベア,4:35
4,クルクルかき氷,超特急 ≠ME行き(初回限定版),me,ALBUM,,Haggy Rock,Haggy Rock,4:01
5,空白の花,超特急 ≠ME行き(初回限定版),me,ALBUM,,長浜駿平,若田部誠,4:25
6,P.I.C.,超特急 ≠ME行き(初回限定版),me,ALBUM,,"NA.ZU.NA,Yu-ki Kokudo,YHANAEL","NA.ZU.NA,Yu-ki Kokudo,YHANAEL",3:43
7,自分賛歌,超特急 ≠ME行き(初回限定版),me,ALBUM,,長沢知亜紀、永野小織,めんま,4:07
8,秘密インシデント,超特急 ≠ME行き(初回限定版),me,ALBUM,,宮川麿、M!SATO,宮川麿,4:29
9,≠ME,超特急 ≠ME行き(初回限定版),me,ALBUM,,バグベア,バグベア,4:18
,P.I.C.,"青春""サブリミナル""",me,SINGLE,2020-11-25,,,224720
,アマガミガール,電話番号教えて！,≒JOY;DJ ALICE,SINGLE,2026-02-18,,,265480
